x_t,y_t,z_t,x_next
-7.787291678857402,-8.912359728641455,24.50862403649588,-8.418627564418498
-7.844412001250327,-9.003582983509336,24.531764771906985,-8.48670441525544
-7.9031849503728315,-9.094333809975172,24.560737285031298,-8.555093253118972
-7.963501584296693,-9.184395531560524,24.59556642412741,-8.623629585254676
-8.025247509317845,-9.273543942289736,24.63626446049321,-8.692143885008143
-8.088302806073214,-9.36154758802407,24.682830232919862,-8.760461826570486
-8.152541935407884,-9.448168113161072,24.7352482173173,-8.828404640583965
-8.217833700634765,-9.53316071029567,24.793487663326474,-8.895789483906073
-8.28404121409848,-9.61627469455628,24.857501650693838,-8.962429882835684
-8.351021904272365,-9.697254135880945,24.927226246252534,-9.02813625996019
-8.418627564418498,-9.775838683711019,25.002579598130094,-9.092716470034523
-8.48670441525544,-9.85176439960765,25.083461141942948,-9.15597647289714
-8.555093253118972,-9.924764835182511,25.169750796813172,-9.217720989283162
-8.623629585254676,-9.994572089385,25.261308257113715,-9.27775427949171
-8.692143885008143,-10.060918118835625,25.35797235399307,-9.335880952741206
-8.760461826570486,-10.123536043928334,25.459560490102206,-9.391906813090387
-8.828404640583965,-10.182161646771622,25.565868216076346,-9.445639812200843
-8.895789483906073,-10.236534946263177,25.676668888576717,-9.496890966710973
-8.962429882835684,-10.286401830022685,25.791713496644203,-9.545475390179051
-9.02813625996019,-10.331515867583432,25.910730634061892,-9.591213303950319
-9.092716470034523,-10.37164005972187,26.033426611703334,-9.633931077992406
-9.15597647289714,-10.406548788581892,26.159485809372917,-9.673462320709467
-9.217720989283162,-10.436029682474953,26.28857114149769,-9.709648900648187
-9.27775427949171,-10.459885573411704,26.420324796059834,-9.742342038067804
-9.335880952741206,-10.477936447024579,26.55436915109567,-9.771403311904358
-9.391906813090387,-10.490021303910819,26.690307880157295,-9.796705664933864
-9.445639812200843,-10.496000075597845,26.827727365890556,-9.818134375654086
-9.496890966710973,-10.495755348348826,26.96619820046587,-9.835587930103937
-9.545475390179051,-10.48919407224047,27.105277034678796,-9.848978883881083
-9.591213303950319,-10.476249094362396,27.244508543708765,-9.858234593732549
-9.633931077992406,-10.456880528545874,27.383427596524644,-9.863297890465088
-9.673462320709467,-10.43107698354753,27.521561697723886,-9.864127648095133
-9.709648900648187,-10.398856523028144,27.65843342138199,-9.860699231249946
-9.742342038067804,-10.360267445036776,27.793563183662673,-9.853004848434644
-9.771403311904358,-10.31538877582317,27.926471961696464,-9.841053767974563
-9.796705664933864,-10.264330512400655,28.056684176273357,-9.82487241925077
-9.818134375654086,-10.207233568791994,28.183730671009684,-9.804504360760939
-9.835587930103937,-10.144269451068439,28.307151557468902,-9.780010124284965
-9.848978883881083,-10.075639605132233,28.426499255123506,-9.751466930649245
-9.858234593732549,-10.00157449977356,28.541341277418677,-9.71896827491123
-9.863297890465088,-9.922332408612201,28.651263054870174,-9.682623404372048
-9.864127648095133,-9.838197879870435,28.75587062167472,-9.642556670534239
